transaction_id,customer_id,product_id,date,quantity,price_per_unit,name,gender,age,location,product_name,category,cost_per_unit,total_amount,total_cost,profit,month
T0001,C060,P005,2023-10-17,3,20.39,Valerie Jones,M,53,New Alexander,Tool Z,Outdoors,15.0,61.17,45.0,16.17,2023-10
T0002,C033,P005,2023-08-29,4,26.75,Jennifer Vincent,F,33,Port Gary,Tool Z,Outdoors,15.0,107.0,60.0,47.0,2023-08
T0003,C002,P001,2023-08-16,1,11.79,Samantha Valenzuela,M,46,Cynthiafurt,Widget A,Electronics,7.0,11.79,7.0,4.789999999999999,2023-08
T0004,C088,P005,2023-04-15,2,22.3,Frank Bennett,F,42,Lewisport,Tool Z,Outdoors,15.0,44.6,30.0,14.600000000000001,2023-04
T0005,C097,P003,2023-05-08,1,9.66,Jillian Gould,M,26,Port Angela,Gadget X,Home,5.0,9.66,5.0,4.66,2023-05
T0006,C099,P003,2023-04-02,1,8.49,Robert Carter,M,18,Westmouth,Gadget X,Home,5.0,8.49,5.0,3.49,2023-04
T0007,C015,P003,2023-03-16,2,6.38,Jesse Garrett,M,41,South Danieltown,Gadget X,Home,5.0,12.76,10.0,2.76,2023-03
T0008,C056,P002,2023-08-08,3,17.39,Brandon Payne,F,64,Washingtonburgh,Widget B,Electronics,12.0,52.17,36.0,16.17,2023-08
T0009,C059,P001,2023-02-18,4,12.13,Shane Cruz,F,34,Jasonside,Widget A,Electronics,7.0,48.52,28.0,20.520000000000003,2023-02
T0010,C093,P003,2023-05-22,4,8.55,Patrick Wood,M,62,New Devin,Gadget X,Home,5.0,34.2,20.0,14.200000000000003,2023-05
T0011,C065,P002,2023-04-15,3,19.79,Sherry Stewart,F,59,Jordanburgh,Widget B,Electronics,12.0,59.37,36.0,23.369999999999997,2023-04
T0012,C065,P001,2023-05-05,3,9.07,Sherry Stewart,F,59,Jordanburgh,Widget A,Electronics,7.0,27.21,21.0,6.210000000000001,2023-05
T0013,C081,P003,2023-07-17,2,9.4,Mario Olson,F,38,Perezshire,Gadget X,Home,5.0,18.8,10.0,8.8,2023-07
T0014,C082,P005,2023-10-28,1,24.74,Christopher Hawkins,M,33,South Andrewport,Tool Z,Outdoors,15.0,24.74,15.0,9.739999999999998,2023-10
T0015,C078,P002,2023-08-03,3,16.86,Deanna Green,M,31,New Christopher,Widget B,Electronics,12.0,50.58,36.0,14.579999999999998,2023-08
T0016,C020,P003,2023-06-10,3,8.09,Michael Frost,F,61,South Brittanystad,Gadget X,Home,5.0,24.27,15.0,9.27,2023-06
